t(s), a, T (MeV), Tnu (MeV), photons, baryons, rho_{{nu}_{vs}}, drho_{{nu}_{vs}}, phi (GeV^4), rho_vs(MeV^4), sigma_rad (MeV^4), Y(n), Y(p), Y(2H), Y(3H), Y(3He), Y(4He), Y(6Li), Y(7Li), Y(7Be), eta
2.90347e-03,1.11824e-10,1.07240e+01,1.06224e+01,8.70218e-09,7.48100e-16,2.20033e-08,8.28182e-06,0.00000e+00,1.03949e+04,2.06498e-17,4.69804e-01,5.30196e-01,2.24658e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.67337e-09
3.02549e-03,1.12979e-10,1.06184e+01,1.05133e+01,8.36446e-09,7.25280e-16,2.11130e-08,8.02984e-06,0.00000e+00,1.00377e+04,2.01298e-17,4.69503e-01,5.30497e-01,2.28504e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.66992e-09
3.15006e-03,1.14147e-10,1.05138e+01,1.04051e+01,8.03986e-09,7.03133e-16,2.02579e-08,7.78365e-06,0.00000e+00,9.69165e+03,1.96205e-17,4.69198e-01,5.30802e-01,2.32419e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.66638e-09
3.27724e-03,1.15328e-10,1.04103e+01,1.02979e+01,7.72785e-09,6.81641e-16,1.94366e-08,7.54473e-06,0.00000e+00,9.35643e+03,1.91217e-17,4.68890e-01,5.31110e-01,2.36406e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.66276e-09
3.40710e-03,1.16523e-10,1.03078e+01,1.01918e+01,7.42796e-09,6.60784e-16,1.86476e-08,7.31527e-06,0.00000e+00,9.03171e+03,1.86332e-17,4.68580e-01,5.31420e-01,2.40465e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.65906e-09
3.53970e-03,1.17731e-10,1.02063e+01,1.00866e+01,7.13972e-09,6.40543e-16,1.78900e-08,7.09250e-06,0.00000e+00,8.71719e+03,1.81549e-17,4.68266e-01,5.31734e-01,2.44598e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.65527e-09
3.67509e-03,1.18953e-10,1.01058e+01,9.98236e+00,6.86266e-09,6.20900e-16,1.71624e-08,6.87312e-06,0.00000e+00,8.41255e+03,1.76865e-17,4.67949e-01,5.32051e-01,2.48806e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.65139e-09
3.81336e-03,1.20190e-10,1.00063e+01,9.87908e+00,6.59636e-09,6.01838e-16,1.64636e-08,6.66092e-06,0.00000e+00,8.11751e+03,1.72278e-17,4.67629e-01,5.32371e-01,2.53091e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.64742e-09
3.95455e-03,1.21441e-10,9.90780e+00,9.77675e+00,6.34040e-09,5.83341e-16,1.57923e-08,6.45781e-06,0.00000e+00,7.83179e+03,1.67787e-17,4.80570e-01,5.19430e-01,2.55276e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.64336e-09
3.95995e-03,1.21488e-10,9.90409e+00,9.77290e+00,6.33092e-09,5.82652e-16,1.57674e-08,6.45021e-06,0.00000e+00,7.82116e+03,1.67619e-17,9.08345e-01,9.16550e-02,2.55276e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.64320e-09
3.95998e-03,1.21489e-10,9.90407e+00,9.77288e+00,6.33086e-09,5.82648e-16,1.57673e-08,6.45017e-06,0.00000e+00,7.82110e+03,1.67618e-17,8.86001e-01,1.13999e-01,2.55276e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.64320e-09
3.96002e-03,1.21489e-10,9.90404e+00,9.77285e+00,6.33079e-09,5.82643e-16,1.57671e-08,6.45011e-06,0.00000e+00,7.82102e+03,1.67617e-17,8.58445e-01,1.41555e-01,2.55276e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.64320e-09
3.96007e-03,1.21489e-10,9.90400e+00,9.77281e+00,6.33070e-09,5.82636e-16,1.57669e-08,6.45004e-06,0.00000e+00,7.82091e+03,1.67615e-17,8.24632e-01,1.75368e-01,2.55276e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.64320e-09
3.96015e-03,1.21490e-10,9.90395e+00,9.77276e+00,6.33057e-09,5.82627e-16,1.57665e-08,6.44994e-06,0.00000e+00,7.82077e+03,1.67613e-17,7.83457e-01,2.16543e-01,2.55276e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.64320e-09
